"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 04 17:09:06 UTC 2023","Sun Jun 04 17:09:09 UTC 2023","3024","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout itens in cart",""
"passed","Sun Jun 04 17:09:09 UTC 2023","Sun Jun 04 17:09:10 UTC 2023","1776","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove iten in cart",""
"passed","Sun Jun 04 17:09:10 UTC 2023","Sun Jun 04 17:09:18 UTC 2023","7610","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove all itens in cart",""
"passed","Sun Jun 04 17:09:06 UTC 2023","Sun Jun 04 17:09:08 UTC 2023","2113","Features","Login Spec","Login Tests","","","Scenario - Successful login testing",""
